id,split,group,case_type,language_style,difficulty,raw_text,normalized_text,amount,type,category,wallet,note,currency
VX-SU-000039,validation,expense_basic,expense_basic,su,easy,urang pulsa Rp25.000,urang pulsa 25000,25000,expense,Tagihan & Utilitas,,pulsa,IDR
VX-SU-000040,test,expense_basic,expense_basic,su,easy,urang balanja bulanan Rp400.000,urang balanja bulanan 400000,400000,expense,Belanja,,balanja bulanan,IDR
VX-SU-000041,train,expense_basic,expense_basic,su,easy,poé ieu mayar dahar siang sakitar Rp45.000,poé ieu mayar dahar siang sakitar 45000,45000,expense,Makan & Minum,,dahar siang,IDR
VX-SU-000042,train,expense_basic,expense_basic,su,easy,tadi mayar tol sakitar Rp50.000,tadi mayar tol sakitar 50000,50000,expense,Transportasi,,tol,IDR
VX-SU-000043,train,expense_basic,expense_basic,su,easy,kamari mésér alat tulis sakitar 10rb,kamari mésér alat tulis sakitar 10000,10000,expense,Belanja,,alat tulis,IDR
VX-SU-000044,train,expense_basic,expense_basic,su,easy,urang mésér 150rb keur tiket konser,urang mésér 150000 keur tiket konser,150000,expense,Hiburan,,tiket konser,IDR
VX-SU-000045,train,expense_basic,expense_basic,su,easy,kamari mayar dokter sakitar 50rb,kamari mayar dokter sakitar 50000,50000,expense,Kesehatan,,dokter,IDR
VX-SU-000046,train,expense_basic,expense_basic,su,easy,urang langganan aplikasi Rp75.000,urang langganan aplikasi 75000,75000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000047,train,expense_basic,expense_basic,su,easy,poé ieu meuli ubar batuk sakitar dua puluh lima rebu,poé ieu meuli ubar batuk sakitar 25000,25000,expense,Kesehatan,,ubar batuk,IDR
VX-SU-000048,train,expense_basic,expense_basic,su,easy,kuring mayar karaoke saratus lima puluh rebu,kuring mayar karaoke 150000,150000,expense,Hiburan,,karaoke,IDR
VX-SU-000049,validation,expense_basic,expense_basic,su,easy,abdi ngeusian bensin sakitar Rp75.000,abdi ngeusian bensin sakitar 75000,75000,expense,Transportasi,,bensin,IDR
VX-SU-000050,test,expense_basic,expense_basic,su,easy,urang mayar langganan aplikasi sakitar tujuh puluh lima rebu,urang mayar langganan aplikasi sakitar 75000,75000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000051,train,expense_basic,expense_basic,su,easy,isuk tadi vitamin 30000,isuk tadi vitamin 30000,30000,expense,Kesehatan,,vitamin,IDR
VX-SU-000052,train,expense_basic,expense_basic,su,easy,poé ieu mayar lima rebu keur parkir motor,poé ieu mayar 5000 keur parkir motor,5000,expense,Transportasi,,parkir motor,IDR
VX-SU-000053,train,expense_basic,expense_basic,su,easy,kamari meuli sapatu Rp300.000,kamari meuli sapatu 300000,300000,expense,Belanja,,sapatu,IDR
VX-SU-000054,train,expense_basic,expense_basic,su,easy,abdi mayar dokter lima puluh rébu,abdi mayar dokter 50000,50000,expense,Kesehatan,,dokter,IDR
VX-SU-000055,train,expense_basic,expense_basic,su,easy,urang és téh 8rb,urang és téh 8000,8000,expense,Makan & Minum,,és téh,IDR
VX-SU-000056,train,expense_basic,expense_basic,su,easy,poé ieu kuota internét Rp75.000,poé ieu kuota internét 75000,75000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000057,train,expense_basic,expense_basic,su,easy,mayar tol sakitar Rp25.000,mayar tol sakitar 25000,25000,expense,Transportasi,,tol,IDR
VX-SU-000058,train,expense_basic,expense_basic,su,easy,isuk tadi langganan aplikasi 75000,isuk tadi langganan aplikasi 75000,75000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000059,validation,expense_basic,expense_basic,su,easy,kamari mayar wifi sakitar saratus lima puluh rébu,kamari mayar wifi sakitar 150000,150000,expense,Tagihan & Utilitas,,wifi,IDR
VX-SU-000060,test,expense_basic,expense_basic,su,easy,peuting tadi mayar cai sakitar 75rb,peuting tadi mayar cai sakitar 75000,75000,expense,Tagihan & Utilitas,,tagihan cai,IDR
VX-SU-000061,train,expense_basic,expense_basic,su,easy,meuli baju sakitar Rp150.000,meuli baju sakitar 150000,150000,expense,Belanja,,baju,IDR
VX-SU-000062,train,expense_basic,expense_basic,su,easy,peuting tadi meuli hayam géprék dua puluh rebu,peuting tadi meuli hayam géprék 20000,20000,expense,Makan & Minum,,hayam géprék,IDR
VX-SU-000063,train,expense_basic,expense_basic,su,easy,kamari meuli cilok 5000,kamari meuli cilok 5000,5000,expense,Makan & Minum,,cilok,IDR
VX-SU-000064,train,expense_basic,expense_basic,su,easy,poé ieu mésér 25rb keur ubar batuk,poé ieu mésér 25000 keur ubar batuk,25000,expense,Kesehatan,,ubar batuk,IDR
VX-SU-000065,train,expense_basic,expense_basic,su,easy,mésér hayam géprék 20rb,mésér hayam géprék 20000,20000,expense,Makan & Minum,,hayam géprék,IDR
VX-SU-000066,train,expense_basic,expense_basic,su,easy,tadi mésér lima puluh rebu keur vitamin,tadi mésér 50000 keur vitamin,50000,expense,Kesehatan,,vitamin,IDR
VX-SU-000067,train,expense_basic,expense_basic,su,easy,sim kuring meuli 12000 keur roti,sim kuring meuli 12000 keur roti,12000,expense,Makan & Minum,,roti,IDR
VX-SU-000068,train,expense_basic,expense_basic,su,easy,peuting tadi mayar karaoke lima puluh rebu,peuting tadi mayar karaoke 50000,50000,expense,Hiburan,,karaoke,IDR
VX-SU-000069,validation,expense_basic,expense_basic,su,easy,poé ieu sapatu 150rb,poé ieu sapatu 150000,150000,expense,Belanja,,sapatu,IDR
VX-SU-000070,test,expense_basic,expense_basic,su,easy,peuting tadi seblak Rp12.000,peuting tadi seblak 12000,12000,expense,Makan & Minum,,seblak,IDR
VX-SU-000071,train,expense_basic,expense_basic,su,easy,urang mayar karaoke 100000,urang mayar karaoke 100000,100000,expense,Hiburan,,karaoke,IDR
VX-SU-000072,train,expense_basic,expense_basic,su,easy,kamari mésér sabun 15000,kamari mésér sabun 15000,15000,expense,Belanja,,sabun,IDR
VX-SU-000073,train,expense_basic,expense_basic,su,easy,sim kuring mésér pulsa sakitar lima puluh rébu,sim kuring mésér pulsa sakitar 50000,50000,expense,Tagihan & Utilitas,,pulsa,IDR
VX-SU-000074,train,expense_basic,expense_basic,su,easy,sim kuring mayar dokter sakitar lima puluh rébu,sim kuring mayar dokter sakitar 50000,50000,expense,Kesehatan,,dokter,IDR
VX-SU-000075,train,expense_basic,expense_basic,su,easy,sim kuring mésér Rp8.000 keur és téh,sim kuring mésér 8000 keur és téh,8000,expense,Makan & Minum,,és téh,IDR
VX-SU-000076,train,expense_basic,expense_basic,su,easy,kuring mayar langganan aplikasi sakitar Rp100.000,kuring mayar langganan aplikasi sakitar 100000,100000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000077,train,expense_basic,expense_basic,su,easy,kamari mésér kopi 10rb,kamari mésér kopi 10000,10000,expense,Makan & Minum,,kopi,IDR
VX-SU-000078,train,expense_basic,expense_basic,su,easy,jajan dua belas rébu keur cilok,jajan 12000 keur cilok,12000,expense,Makan & Minum,,cilok,IDR
VX-SU-000079,validation,expense_basic,expense_basic,su,easy,kamari mayar apoték sakitar 25000,kamari mayar apoték sakitar 25000,25000,expense,Kesehatan,,apoték,IDR
VX-SU-000080,test,expense_basic,expense_basic,su,easy,poé ieu balanja dua ratus lima puluh rebu keur balanja bulanan,poé ieu balanja 250000 keur balanja bulanan,250000,expense,Belanja,,balanja bulanan,IDR
VX-SU-000081,train,expense_basic,expense_basic,su,easy,isuk tadi mayar parkir motor lima rebu,isuk tadi mayar parkir motor 5000,5000,expense,Transportasi,,parkir motor,IDR
VX-SU-000082,train,expense_basic,expense_basic,su,easy,sim kuring langganan aplikasi lima puluh rébu,sim kuring langganan aplikasi 50000,50000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000083,train,expense_basic,expense_basic,su,easy,isuk tadi meuli game sakitar 20000,isuk tadi meuli game sakitar 20000,20000,expense,Hiburan,,game,IDR
VX-SU-000084,train,expense_basic,expense_basic,su,easy,poé ieu meuli dua ratus rébu keur baju,poé ieu meuli 200000 keur baju,200000,expense,Belanja,,baju,IDR
VX-SU-000085,train,expense_basic,expense_basic,su,easy,peuting tadi meuli alat tulis 25rb,peuting tadi meuli alat tulis 25000,25000,expense,Belanja,,alat tulis,IDR
VX-SU-000086,train,expense_basic,expense_basic,su,easy,kuring nonton bioskop sakitar opat puluh rébu,kuring nonton bioskop sakitar 40000,40000,expense,Hiburan,,bioskop,IDR
VX-SU-000087,train,expense_basic,expense_basic,su,easy,kuring mayar 150000 keur wifi,kuring mayar 150000 keur wifi,150000,expense,Tagihan & Utilitas,,wifi,IDR
VX-SU-000088,train,expense_basic,expense_basic,su,easy,peuting tadi tol 15rb,peuting tadi tol 15000,15000,expense,Transportasi,,tol,IDR
VX-SU-000089,validation,expense_basic,expense_basic,su,easy,kuring mayar balanja bulanan sakitar opat ratus rébu,kuring mayar balanja bulanan sakitar 400000,400000,expense,Belanja,,balanja bulanan,IDR
VX-SU-000090,test,expense_basic,expense_basic,su,easy,kuring karaoke 50rb,kuring karaoke 50000,50000,expense,Hiburan,,karaoke,IDR
VX-SU-000091,train,expense_basic,expense_basic,su,easy,tadi mayar tol sakitar 25rb,tadi mayar tol sakitar 25000,25000,expense,Transportasi,,tol,IDR
VX-SU-000092,train,expense_basic,expense_basic,su,easy,minggu ieu meuli sampo sakitar tilu puluh rébu,minggu ieu meuli sampo sakitar 30000,30000,expense,Belanja,,sampo,IDR
VX-SU-000093,train,expense_basic,expense_basic,su,easy,meuli 15rb keur seblak,meuli 15000 keur seblak,15000,expense,Makan & Minum,,seblak,IDR
VX-SU-000094,train,expense_basic,expense_basic,su,easy,peuting tadi meuli saratus lima puluh rébu keur tiket konser,peuting tadi meuli 150000 keur tiket konser,150000,expense,Hiburan,,tiket konser,IDR
VX-SU-000095,train,expense_basic,expense_basic,su,easy,minggu ieu mayar Rp200.000 keur wifi,minggu ieu mayar 200000 keur wifi,200000,expense,Tagihan & Utilitas,,wifi,IDR
VX-SU-000096,train,expense_basic,expense_basic,su,easy,isuk tadi roti sapuluh rebu,isuk tadi roti 10000,10000,expense,Makan & Minum,,roti,IDR
VX-SU-000097,train,expense_basic,expense_basic,su,easy,poé ieu és téh 8000,poé ieu és téh 8000,8000,expense,Makan & Minum,,és téh,IDR
VX-SU-000098,train,expense_basic,expense_basic,su,easy,kuring mayar tol lima puluh rebu,kuring mayar tol 50000,50000,expense,Transportasi,,tol,IDR
VX-SU-000099,validation,expense_basic,expense_basic,su,easy,sim kuring mayar karaoke sakitar Rp50.000,sim kuring mayar karaoke sakitar 50000,50000,expense,Hiburan,,karaoke,IDR
VX-SU-000100,test,expense_basic,expense_basic,su,easy,abdi mésér hayam géprék sakitar Rp15.000,abdi mésér hayam géprék sakitar 15000,15000,expense,Makan & Minum,,hayam géprék,IDR
VX-SU-000101,train,expense_basic,expense_basic,su,easy,peuting tadi nonton Rp50.000 keur bioskop,peuting tadi nonton 50000 keur bioskop,50000,expense,Hiburan,,bioskop,IDR
VX-SU-000102,train,expense_basic,expense_basic,su,easy,meuli baso sakitar dalapan belas rebu,meuli baso sakitar 18000,18000,expense,Makan & Minum,,baso,IDR
VX-SU-000103,train,expense_basic,expense_basic,su,easy,tadi mayar tujuh puluh lima rébu keur netflix,tadi mayar 75000 keur netflix,75000,expense,Hiburan,,netflix,IDR
VX-SU-000104,train,expense_basic,expense_basic,su,easy,isuk tadi mésér dua ratus lima puluh rébu keur sapatu,isuk tadi mésér 250000 keur sapatu,250000,expense,Belanja,,sapatu,IDR
VX-SU-000105,train,expense_basic,expense_basic,su,easy,kamari mayar parkir motor lima rébu,kamari mayar parkir motor 5000,5000,expense,Transportasi,,parkir motor,IDR
VX-SU-000106,train,expense_basic,expense_basic,su,easy,mésér dua belas rébu keur seblak,mésér 12000 keur seblak,12000,expense,Makan & Minum,,seblak,IDR
VX-SU-000107,train,expense_basic,expense_basic,su,easy,kopi Rp25.000,kopi 25000,25000,expense,Makan & Minum,,kopi,IDR
VX-SU-000108,train,expense_basic,expense_basic,su,easy,peuting tadi top up 20rb keur game,peuting tadi top up 20000 keur game,20000,expense,Hiburan,,game,IDR
VX-SU-000109,validation,expense_basic,expense_basic,su,easy,urang meuli sabun 12rb,urang meuli sabun 12000,12000,expense,Belanja,,sabun,IDR
VX-SU-000110,test,expense_basic,expense_basic,su,easy,kamari jajan sapuluh rébu keur seblak,kamari jajan 10000 keur seblak,10000,expense,Makan & Minum,,seblak,IDR
VX-SU-000111,train,expense_basic,expense_basic,su,easy,minggu ieu vitamin saratus rébu,minggu ieu vitamin 100000,100000,expense,Kesehatan,,vitamin,IDR
VX-SU-000112,train,expense_basic,expense_basic,su,easy,isuk tadi mésér roti sakitar dua belas rebu,isuk tadi mésér roti sakitar 12000,12000,expense,Makan & Minum,,roti,IDR
VX-SU-000113,train,expense_basic,expense_basic,su,easy,poé ieu mayar Rp75.000 keur langganan aplikasi,poé ieu mayar 75000 keur langganan aplikasi,75000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000114,train,expense_basic,expense_basic,su,easy,urang meuli bensin sakitar dua puluh rebu,urang meuli bensin sakitar 20000,20000,expense,Transportasi,,bensin,IDR
VX-SU-000115,train,expense_basic,expense_basic,su,easy,minggu ieu cilok dua belas rébu,minggu ieu cilok 12000,12000,expense,Makan & Minum,,cilok,IDR
VX-SU-000116,train,expense_basic,expense_basic,su,easy,tadi dokter Rp150.000,tadi dokter 150000,150000,expense,Kesehatan,,dokter,IDR
VX-SU-000117,train,expense_basic,expense_basic,su,easy,sim kuring mésér masker sapuluh rébu,sim kuring mésér masker 10000,10000,expense,Kesehatan,,masker,IDR
VX-SU-000118,train,expense_basic,expense_basic,su,easy,tadi mayar lima puluh rébu keur tol,tadi mayar 50000 keur tol,50000,expense,Transportasi,,tol,IDR
VX-SU-000119,validation,expense_basic,expense_basic,su,easy,peuting tadi mésér roti dua belas rébu,peuting tadi mésér roti 12000,12000,expense,Makan & Minum,,roti,IDR
VX-SU-000120,test,expense_basic,expense_basic,su,easy,kuring mésér baju sakitar 150000,kuring mésér baju sakitar 150000,150000,expense,Belanja,,baju,IDR
VX-SU-000121,train,expense_basic,expense_basic,su,easy,isuk tadi sangu goréng 18000,isuk tadi sangu goréng 18000,18000,expense,Makan & Minum,,sangu goréng,IDR
VX-SU-000122,train,expense_basic,expense_basic,su,easy,abdi sampo 35000,abdi sampo 35000,35000,expense,Belanja,,sampo,IDR
VX-SU-000123,train,expense_basic,expense_basic,su,easy,urang mayar 18rb keur ojék online,urang mayar 18000 keur ojék online,18000,expense,Transportasi,,ojék online,IDR
VX-SU-000124,train,expense_basic,expense_basic,su,easy,isuk tadi meuli dua puluh lima rébu keur ubar batuk,isuk tadi meuli 25000 keur ubar batuk,25000,expense,Kesehatan,,ubar batuk,IDR
VX-SU-000125,train,expense_basic,expense_basic,su,easy,kamari mayar tol Rp25.000,kamari mayar tol 25000,25000,expense,Transportasi,,tol,IDR
VX-SU-000126,train,expense_basic,expense_basic,su,easy,minggu ieu mayar 54000 keur netflix,minggu ieu mayar 54000 keur netflix,54000,expense,Hiburan,,netflix,IDR
VX-SU-000127,train,expense_basic,expense_basic,su,easy,abdi mayar apoték Rp25.000,abdi mayar apoték 25000,25000,expense,Kesehatan,,apoték,IDR
VX-SU-000128,train,expense_basic,expense_basic,su,easy,tadi sangu goréng lima belas rebu,tadi sangu goréng 15000,15000,expense,Makan & Minum,,sangu goréng,IDR
VX-SU-000129,validation,expense_basic,expense_basic,su,easy,kamari mayar netflix Rp100.000,kamari mayar netflix 100000,100000,expense,Hiburan,,netflix,IDR
VX-SU-000130,test,expense_basic,expense_basic,su,easy,isuk tadi karaoke Rp150.000,isuk tadi karaoke 150000,150000,expense,Hiburan,,karaoke,IDR
VX-SU-000131,train,expense_basic,expense_basic,su,easy,tadi mésér tujuh puluh lima rébu keur skincare,tadi mésér 75000 keur skincare,75000,expense,Belanja,,skincare,IDR
VX-SU-000132,train,expense_basic,expense_basic,su,easy,urang kuota internét 150000,urang kuota internét 150000,150000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000133,train,expense_basic,expense_basic,su,easy,kuring jajan cilok sakitar 5000,kuring jajan cilok sakitar 5000,5000,expense,Makan & Minum,,cilok,IDR
VX-SU-000134,train,expense_basic,expense_basic,su,easy,peuting tadi mayar langganan aplikasi sakitar saratus rebu,peuting tadi mayar langganan aplikasi sakitar 100000,100000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000135,train,expense_basic,expense_basic,su,easy,urang mésér masker sakitar tilu puluh rébu,urang mésér masker sakitar 30000,30000,expense,Kesehatan,,masker,IDR
VX-SU-000136,train,expense_basic,expense_basic,su,easy,tadi pulsa sapuluh rébu,tadi pulsa 10000,10000,expense,Tagihan & Utilitas,,pulsa,IDR
VX-SU-000137,train,expense_basic,expense_basic,su,easy,tadi meuli dalapan rebu keur cilok,tadi meuli 8000 keur cilok,8000,expense,Makan & Minum,,cilok,IDR
VX-SU-000138,train,expense_basic,expense_basic,su,easy,tadi kuota internét tujuh puluh lima rebu,tadi kuota internét 75000,75000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000139,validation,expense_basic,expense_basic,su,easy,minggu ieu mayar tol sakitar 20rb,minggu ieu mayar tol sakitar 20000,20000,expense,Transportasi,,tol,IDR
VX-SU-000140,test,expense_basic,expense_basic,su,easy,tadi mayar 75rb keur cai,tadi mayar 75000 keur cai,75000,expense,Tagihan & Utilitas,,tagihan cai,IDR
VX-SU-000141,train,expense_basic,expense_basic,su,easy,kuring mésér vitamin sakitar Rp75.000,kuring mésér vitamin sakitar 75000,75000,expense,Kesehatan,,vitamin,IDR
VX-SU-000142,train,expense_basic,expense_basic,su,easy,peuting tadi sangu goréng 12000,peuting tadi sangu goréng 12000,12000,expense,Makan & Minum,,sangu goréng,IDR
VX-SU-000143,train,expense_basic,expense_basic,su,easy,netflix lima puluh opat rebu,netflix 54000,54000,expense,Hiburan,,netflix,IDR
VX-SU-000144,train,expense_basic,expense_basic,su,easy,poé ieu mayar cai tilu puluh rébu,poé ieu mayar cai 30000,30000,expense,Tagihan & Utilitas,,tagihan cai,IDR
VX-SU-000145,train,expense_basic,expense_basic,su,easy,sim kuring mayar langganan aplikasi sakitar 25rb,sim kuring mayar langganan aplikasi sakitar 25000,25000,expense,Tagihan & Utilitas,,langganan aplikasi,IDR
VX-SU-000146,train,expense_basic,expense_basic,su,easy,urang bensin tujuh puluh lima rebu,urang bensin 75000,75000,expense,Transportasi,,bensin,IDR
VX-SU-000147,train,expense_basic,expense_basic,su,easy,urang mayar parkir motor Rp5.000,urang mayar parkir motor 5000,5000,expense,Transportasi,,parkir motor,IDR
VX-SU-000148,train,expense_basic,expense_basic,su,easy,tadi meuli 75rb keur skincare,tadi meuli 75000 keur skincare,75000,expense,Belanja,,skincare,IDR
VX-SU-000149,validation,expense_basic,expense_basic,su,easy,abdi meuli kuota internét lima puluh rébu,abdi meuli kuota internét 50000,50000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000150,test,expense_basic,expense_basic,su,easy,abdi meuli bensin sakitar saratus rébu,abdi meuli bensin sakitar 100000,100000,expense,Transportasi,,bensin,IDR
VX-SU-000151,train,expense_basic,expense_basic,su,easy,abdi meuli kuota internét 25rb,abdi meuli kuota internét 25000,25000,expense,Tagihan & Utilitas,,kuota internét,IDR
VX-SU-000152,train,expense_basic,expense_basic,su,easy,isuk tadi meuli skincare tujuh puluh lima rebu,isuk tadi meuli skincare 75000,75000,expense,Belanja,,skincare,IDR
VX-SU-000153,train,expense_basic,expense_basic,su,easy,tadi listrik 300000,tadi listrik 300000,300000,expense,Tagihan & Utilitas,,listrik,IDR
VX-SU-000154,train,expense_basic,expense_basic,su,easy,peuting tadi ngeusian bensin tujuh puluh lima rébu,peuting tadi ngeusian bensin 75000,75000,expense,Transportasi,,bensin,IDR
VX-SU-000155,train,expense_basic,expense_basic,su,easy,urang mayar tol sakitar 25000,urang mayar tol sakitar 25000,25000,expense,Transportasi,,tol,IDR
VX-SU-000156,train,expense_basic,expense_basic,su,easy,poé ieu tol 25000,poé ieu tol 25000,25000,expense,Transportasi,,tol,IDR
VX-SU-000157,train,expense_basic,expense_basic,su,easy,isuk tadi mayar apoték sakitar tujuh puluh lima rebu,isuk tadi mayar apoték sakitar 75000,75000,expense,Kesehatan,,apoték,IDR
VX-SU-000158,train,expense_basic,expense_basic,su,easy,peuting tadi parkir motor sapuluh rébu,peuting tadi parkir motor 10000,10000,expense,Transportasi,,parkir motor,IDR
VX-SU-000159,validation,expense_basic,expense_basic,su,easy,alat tulis Rp15.000,alat tulis 15000,15000,expense,Belanja,,alat tulis,IDR
VX-SU-000160,test,expense_basic,expense_basic,su,easy,kuring mayar ojék online sakitar 22000,kuring mayar ojék online sakitar 22000,22000,expense,Transportasi,,ojék online,IDR
VX-SU-000161,train,expense_basic,expense_basic,su,easy,isuk tadi meuli seblak lima belas rebu,isuk tadi meuli seblak 15000,15000,expense,Makan & Minum,,seblak,IDR
