id,split,group,difficulty,raw_text,normalized_text,expected_amount,predicted_amount,amount_correct,expected_type,predicted_type,type_correct,expected_category,predicted_category,category_correct,expected_wallet,predicted_wallet,wallet_correct,expected_note,predicted_note,note_correct,expected_currency,predicted_currency,currency_correct,exact_match,predicted_json
VX-SU-000110,test,expense_basic,easy,kamari jajan sapuluh rébu keur seblak,kamari jajan 10000 keur seblak,10000,10000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,seblak,seblak,True,IDR,IDR,True,True,"{""amount"": 10000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""seblak"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000120,test,expense_basic,easy,kuring mésér baju sakitar 150000,kuring mésér baju sakitar 150000,150000,150000,True,expense,expense,True,Belanja,Belanja,True,,,True,baju,baju,True,IDR,IDR,True,True,"{""amount"": 150000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""baju"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000130,test,expense_basic,easy,isuk tadi karaoke Rp150.000,isuk tadi karaoke 150000,150000,150000,True,expense,,False,Hiburan,Hiburan,True,,,True,karaoke,karaoke,True,IDR,IDR,True,False,"{""amount"": 150000, ""type"": null, ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""karaoke"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000140,test,expense_basic,easy,tadi mayar 75rb keur cai,tadi mayar 75000 keur cai,75000,75000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,tagihan cai,cai,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""cai"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000150,test,expense_basic,easy,abdi meuli bensin sakitar saratus rébu,abdi meuli bensin sakitar 100000,100000,100000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,bensin,bensin,True,IDR,IDR,True,True,"{""amount"": 100000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""bensin"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000160,test,expense_basic,easy,kuring mayar ojék online sakitar 22000,kuring mayar ojék online sakitar 22000,22000,22000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,ojék online,ojék,True,IDR,IDR,True,True,"{""amount"": 22000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""ojék"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000170,test,expense_basic,easy,ojék online dua puluh dua rebu,ojék online 22000,22000,22000,True,expense,,False,Transportasi,Transportasi,True,,,True,ojék online,ojék,True,IDR,IDR,True,False,"{""amount"": 22000, ""type"": null, ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""ojék"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000180,test,expense_basic,easy,poé ieu meuli dua ratus lima puluh rébu keur sapatu,poé ieu meuli 250000 keur sapatu,250000,250000,True,expense,expense,True,Belanja,Belanja,True,,,True,sapatu,sapatu,True,IDR,IDR,True,True,"{""amount"": 250000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sapatu"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000190,test,expense_basic,easy,sim kuring mésér tiket konser tilu ratus rebu,sim kuring mésér tiket konser 300000,300000,300000,True,expense,expense,True,Hiburan,Hiburan,True,,,True,tiket konser,konser,True,IDR,IDR,True,True,"{""amount"": 300000, ""type"": ""expense"", ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""konser"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000200,test,expense_basic,easy,isuk tadi meuli 20rb keur hayam géprék,isuk tadi meuli 20000 keur hayam géprék,20000,20000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,hayam géprék,hayam,True,IDR,IDR,True,True,"{""amount"": 20000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""hayam"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000210,test,expense_basic,easy,poé ieu meuli dua puluh rébu keur hayam géprék,poé ieu meuli 20000 keur hayam géprék,20000,20000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,hayam géprék,hayam,True,IDR,IDR,True,True,"{""amount"": 20000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""hayam"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000220,test,expense_basic,easy,minggu ieu meuli pulsa 25000,minggu ieu meuli pulsa 25000,25000,25000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,pulsa,pulsa,True,IDR,IDR,True,True,"{""amount"": 25000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""pulsa"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000230,test,expense_basic,easy,kamari mayar langganan aplikasi 50000,kamari mayar langganan aplikasi 50000,50000,50000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,langganan aplikasi,langganan,True,IDR,IDR,True,True,"{""amount"": 50000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""langganan"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000240,test,expense_basic,easy,isuk tadi meuli Rp50.000 keur game,isuk tadi meuli 50000 keur game,50000,50000,True,expense,expense,True,Hiburan,Hiburan,True,,,True,game,game,True,IDR,IDR,True,True,"{""amount"": 50000, ""type"": ""expense"", ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""game"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000250,test,expense_basic,easy,meuli Rp125.000 keur skincare,meuli 125000 keur skincare,125000,125000,True,expense,expense,True,Belanja,Belanja,True,,,True,skincare,skincare,True,IDR,IDR,True,True,"{""amount"": 125000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""skincare"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000260,test,expense_basic,easy,top up 150000 keur game,top up 150000 keur game,150000,150000,True,expense,transfer,False,Hiburan,Transfer,False,,,True,game,top up,False,IDR,IDR,True,False,"{""amount"": 150000, ""type"": ""transfer"", ""category"": ""Transfer"", ""wallet"": null, ""note"": ""top up"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000270,test,expense_basic,easy,peuting tadi meuli skincare 75000,peuting tadi meuli skincare 75000,75000,75000,True,expense,expense,True,Belanja,Belanja,True,,,True,skincare,skincare,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""skincare"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000280,test,expense_basic,easy,isuk tadi mayar kuota internét sakitar 25rb,isuk tadi mayar kuota internét sakitar 25000,25000,25000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,kuota internét,kuota,True,IDR,IDR,True,True,"{""amount"": 25000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""kuota"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000290,test,expense_basic,easy,isuk tadi meuli sapatu 200000,isuk tadi meuli sapatu 200000,200000,200000,True,expense,expense,True,Belanja,Belanja,True,,,True,sapatu,sapatu,True,IDR,IDR,True,True,"{""amount"": 200000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sapatu"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000300,test,expense_basic,easy,kamari ngeusian Rp20.000 keur bensin,kamari ngeusian 20000 keur bensin,20000,20000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,bensin,bensin,True,IDR,IDR,True,True,"{""amount"": 20000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""bensin"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000310,test,expense_basic,easy,tadi meuli tilu puluh rébu keur sampo,tadi meuli 30000 keur sampo,30000,30000,True,expense,expense,True,Belanja,Belanja,True,,,True,sampo,sampo,True,IDR,IDR,True,True,"{""amount"": 30000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sampo"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000320,test,expense_basic,easy,urang mésér sapuluh rébu keur masker,urang mésér 10000 keur masker,10000,10000,True,expense,expense,True,Kesehatan,Kesehatan,True,,,True,masker,masker,True,IDR,IDR,True,True,"{""amount"": 10000, ""type"": ""expense"", ""category"": ""Kesehatan"", ""wallet"": null, ""note"": ""masker"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000330,test,expense_basic,easy,kuring meuli sapatu 300rb,kuring meuli sapatu 300000,300000,300000,True,expense,expense,True,Belanja,Belanja,True,,,True,sapatu,sapatu,True,IDR,IDR,True,True,"{""amount"": 300000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sapatu"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000340,test,expense_basic,easy,mésér ubar batuk sakitar dua puluh lima rébu,mésér ubar batuk sakitar 25000,25000,25000,True,expense,expense,True,Kesehatan,Kesehatan,True,,,True,ubar batuk,ubar,True,IDR,IDR,True,True,"{""amount"": 25000, ""type"": ""expense"", ""category"": ""Kesehatan"", ""wallet"": null, ""note"": ""ubar"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000350,test,expense_basic,easy,abdi apoték 75000,abdi apoték 75000,75000,75000,True,expense,,False,Kesehatan,Kesehatan,True,,,True,apoték,apoték,True,IDR,IDR,True,False,"{""amount"": 75000, ""type"": null, ""category"": ""Kesehatan"", ""wallet"": null, ""note"": ""apoték"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000360,test,expense_basic,easy,isuk tadi mésér sapatu sakitar Rp250.000,isuk tadi mésér sapatu sakitar 250000,250000,250000,True,expense,expense,True,Belanja,Belanja,True,,,True,sapatu,sapatu,True,IDR,IDR,True,True,"{""amount"": 250000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sapatu"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000370,test,expense_basic,easy,abdi meuli sampo sakitar tilu puluh rébu,abdi meuli sampo sakitar 30000,30000,30000,True,expense,expense,True,Belanja,Belanja,True,,,True,sampo,sampo,True,IDR,IDR,True,True,"{""amount"": 30000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sampo"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000380,test,expense_basic,easy,peuting tadi mayar angkot 7000,peuting tadi mayar angkot 7000,7000,7000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,angkot,angkot,True,IDR,IDR,True,True,"{""amount"": 7000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""angkot"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000390,test,expense_basic,easy,peuting tadi meuli baju tujuh puluh lima rébu,peuting tadi meuli baju 75000,75000,75000,True,expense,expense,True,Belanja,Belanja,True,,,True,baju,baju,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""baju"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000400,test,expense_basic,easy,sim kuring meuli Rp25.000 keur pulsa,sim kuring meuli 25000 keur pulsa,25000,25000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,pulsa,pulsa,True,IDR,IDR,True,True,"{""amount"": 25000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""pulsa"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000410,test,expense_basic,easy,urang mayar tol 15000,urang mayar tol 15000,15000,15000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,tol,tol,True,IDR,IDR,True,True,"{""amount"": 15000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""tol"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000420,test,expense_basic,easy,kamari mayar parkir motor sakitar Rp10.000,kamari mayar parkir motor sakitar 10000,10000,10000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,parkir motor,parkir,True,IDR,IDR,True,True,"{""amount"": 10000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""parkir"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000430,test,expense_basic,easy,tadi mésér skincare sakitar Rp50.000,tadi mésér skincare sakitar 50000,50000,50000,True,expense,expense,True,Belanja,Belanja,True,,,True,skincare,skincare,True,IDR,IDR,True,True,"{""amount"": 50000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""skincare"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000440,test,expense_basic,easy,poé ieu meuli pulsa saratus rébu,poé ieu meuli pulsa 100000,100000,100000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,pulsa,pulsa,True,IDR,IDR,True,True,"{""amount"": 100000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""pulsa"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000450,test,expense_basic,easy,abdi mésér alat tulis sakitar Rp25.000,abdi mésér alat tulis sakitar 25000,25000,25000,True,expense,expense,True,Belanja,Belanja,True,,,True,alat tulis,alat tulis,True,IDR,IDR,True,True,"{""amount"": 25000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""alat tulis"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000460,test,expense_basic,easy,parkir motor 5rb,parkir motor 5000,5000,5000,True,expense,,False,Transportasi,Transportasi,True,,,True,parkir motor,parkir,True,IDR,IDR,True,False,"{""amount"": 5000, ""type"": null, ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""parkir"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000470,test,expense_basic,easy,kamari mésér roti 12rb,kamari mésér roti 12000,12000,12000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,roti,roti,True,IDR,IDR,True,True,"{""amount"": 12000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""roti"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000480,test,expense_basic,easy,kuring nonton bioskop sakitar 30rb,kuring nonton bioskop sakitar 30000,30000,30000,True,expense,,False,Hiburan,Hiburan,True,,,True,bioskop,bioskop,True,IDR,IDR,True,False,"{""amount"": 30000, ""type"": null, ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""bioskop"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000490,test,expense_basic,easy,tadi meuli saratus lima puluh rébu keur game,tadi meuli 150000 keur game,150000,150000,True,expense,expense,True,Hiburan,Hiburan,True,,,True,game,game,True,IDR,IDR,True,True,"{""amount"": 150000, ""type"": ""expense"", ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""game"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000500,test,expense_basic,easy,kamari mayar tol sakitar 25000,kamari mayar tol sakitar 25000,25000,25000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,tol,tol,True,IDR,IDR,True,True,"{""amount"": 25000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""tol"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000510,test,expense_basic,easy,meuli Rp150.000 keur game,meuli 150000 keur game,150000,150000,True,expense,expense,True,Hiburan,Hiburan,True,,,True,game,game,True,IDR,IDR,True,True,"{""amount"": 150000, ""type"": ""expense"", ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""game"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000520,test,expense_basic,easy,peuting tadi mayar cai 75000,peuting tadi mayar cai 75000,75000,75000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,tagihan cai,cai,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""cai"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000530,test,expense_basic,easy,isuk tadi mayar 20000 keur tol,isuk tadi mayar 20000 keur tol,20000,20000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,tol,tol,True,IDR,IDR,True,True,"{""amount"": 20000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""tol"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000540,test,expense_basic,easy,abdi ngeusian saratus rébu keur bensin,abdi ngeusian 100000 keur bensin,100000,100000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,bensin,bensin,True,IDR,IDR,True,True,"{""amount"": 100000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""bensin"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000550,test,expense_basic,easy,abdi meuli cilok sakitar 12000,abdi meuli cilok sakitar 12000,12000,12000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,cilok,cilok,True,IDR,IDR,True,True,"{""amount"": 12000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""cilok"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000560,test,expense_basic,easy,poé ieu bioskop Rp50.000,poé ieu bioskop 50000,50000,50000,True,expense,,False,Hiburan,Hiburan,True,,,True,bioskop,bioskop,True,IDR,IDR,True,False,"{""amount"": 50000, ""type"": null, ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""bioskop"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000570,test,expense_basic,easy,tadi mayar lima puluh rebu keur tol,tadi mayar 50000 keur tol,50000,50000,True,expense,expense,True,Transportasi,Transportasi,True,,,True,tol,tol,True,IDR,IDR,True,True,"{""amount"": 50000, ""type"": ""expense"", ""category"": ""Transportasi"", ""wallet"": null, ""note"": ""tol"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000580,test,expense_basic,easy,kamari jajan seblak sakitar 15rb,kamari jajan seblak sakitar 15000,15000,15000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,seblak,seblak,True,IDR,IDR,True,True,"{""amount"": 15000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""seblak"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000590,test,expense_basic,easy,urang nonton bioskop sakitar 60rb,urang nonton bioskop sakitar 60000,60000,60000,True,expense,,False,Hiburan,Hiburan,True,,,True,bioskop,bioskop,True,IDR,IDR,True,False,"{""amount"": 60000, ""type"": null, ""category"": ""Hiburan"", ""wallet"": null, ""note"": ""bioskop"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000600,test,expense_basic,easy,poé ieu meuli 125000 keur skincare,poé ieu meuli 125000 keur skincare,125000,125000,True,expense,expense,True,Belanja,Belanja,True,,,True,skincare,skincare,True,IDR,IDR,True,True,"{""amount"": 125000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""skincare"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000610,test,expense_basic,easy,tadi apoték tujuh puluh lima rébu,tadi apoték 75000,75000,75000,True,expense,,False,Kesehatan,Kesehatan,True,,,True,apoték,apoték,True,IDR,IDR,True,False,"{""amount"": 75000, ""type"": null, ""category"": ""Kesehatan"", ""wallet"": null, ""note"": ""apoték"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000620,test,expense_basic,easy,minggu ieu mayar tujuh puluh lima rebu keur cai,minggu ieu mayar 75000 keur cai,75000,75000,True,expense,expense,True,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,tagihan cai,cai,True,IDR,IDR,True,True,"{""amount"": 75000, ""type"": ""expense"", ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""cai"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000630,test,expense_basic,easy,isuk tadi meuli cilok dua belas rebu,isuk tadi meuli cilok 12000,12000,12000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,cilok,cilok,True,IDR,IDR,True,True,"{""amount"": 12000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""cilok"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000640,test,expense_basic,easy,poé ieu pulsa 100rb,poé ieu pulsa 100000,100000,100000,True,expense,,False,Tagihan & Utilitas,Tagihan & Utilitas,True,,,True,pulsa,pulsa,True,IDR,IDR,True,False,"{""amount"": 100000, ""type"": null, ""category"": ""Tagihan & Utilitas"", ""wallet"": null, ""note"": ""pulsa"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000650,test,expense_basic,easy,poé ieu apoték saratus rébu,poé ieu apoték 100000,100000,100000,True,expense,,False,Kesehatan,Kesehatan,True,,,True,apoték,apoték,True,IDR,IDR,True,False,"{""amount"": 100000, ""type"": null, ""category"": ""Kesehatan"", ""wallet"": null, ""note"": ""apoték"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000660,test,expense_basic,easy,sim kuring meuli sampo 35rb,sim kuring meuli sampo 35000,35000,35000,True,expense,expense,True,Belanja,Belanja,True,,,True,sampo,sampo,True,IDR,IDR,True,True,"{""amount"": 35000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""sampo"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000670,test,expense_basic,easy,meuli baju sakitar Rp200.000,meuli baju sakitar 200000,200000,200000,True,expense,expense,True,Belanja,Belanja,True,,,True,baju,baju,True,IDR,IDR,True,True,"{""amount"": 200000, ""type"": ""expense"", ""category"": ""Belanja"", ""wallet"": null, ""note"": ""baju"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000680,test,expense_basic,easy,peuting tadi mésér sangu goréng 20000,peuting tadi mésér sangu goréng 20000,20000,20000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,sangu goréng,sangu,True,IDR,IDR,True,True,"{""amount"": 20000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""sangu"", ""currency"": ""IDR"", ""confidence"": 0.7}"
VX-SU-000690,test,expense_basic,easy,kamari jajan lima rébu keur cilok,kamari jajan 5000 keur cilok,5000,5000,True,expense,expense,True,Makan & Minum,Makan & Minum,True,,,True,cilok,cilok,True,IDR,IDR,True,True,"{""amount"": 5000, ""type"": ""expense"", ""category"": ""Makan & Minum"", ""wallet"": null, ""note"": ""cilok"", ""currency"": ""IDR"", ""confidence"": 0.7}"
